source_id,common_name
70570130902519040,UCAC4 587-009971
70813844527285632,TIC 35201196
70965267892286720,Gaia DR3 70965267892286720
71338311571428736,G 38-5
71391363007943552,G 38-9
71487329756936320,StKM 1-393
71504509626338048,2MASS J03455277+2733263
71505918375609728,Wolf 1274
71566112340707328,UCAC4 589-009401
71576115320945664,Wolf 1268
71691357884397696,Gaia DR3 71691357884397696
71727573048527872,UCAC4 594-009813
71975650357218432,Gaia DR3 71975650357218432
71975650358719872,Gaia DR3 71975650358719872
72110752848798464,LP 469-215
72113570347336448,G 4-8B
72113570347479424,LHS 6046
72117556076986368,LHS 1374
72159852914863232,TIC 337090873
72199710211502464,TIC 337136958
72208025268187136,Gaia DR3 72208025268187136
72354810070468224,CNS5 559
72366114423822464,Gaia DR3 72366114423822464
72806949867680640,LTT 10813
72945213454830592,[R78b] 127
73019941593200000,TIC 408593981
73113198215612160,Gaia DR3 73113198215612160
73312072380724864,Gaia DR3 73312072380724864
73312072381271808,Gaia DR3 73312072381271808
73326018139806592,G 4-4
73564444659543424,HIP 9764
73564444659736320,BD+11 275B
73648110622521600,TIC 97404346
73781873084091264,LTT 10768
73889109827542400,TIC 408589392
73897390524007808,LP 469-238
73958104182179584,LSPM J0216+1259A
73958104182179840,LSPM J0216+1259B
74008612997555840,LP 469-240
74203982469858816,GJ 3146
74337809355718912,[RSP2011] 15
74641485018629888,G 4-22
74692440510567936,Gaia DR3 74692440510567936
74740028748392832,TIC 408744478
74892379828109824,Gaia DR3 74892379828109824
74905230370250368,Gaia DR3 74905230370250368
75339743621732608,GJ 3165
75349600571311744,29 Arietis
75929288012031872,TIC 408595849
76085006346877312,LP 470-20
76117304500935936,AG+15 208
76173444017933184,StKM 2-212A
76300476266255488,LTT 10803
76300510625993344,LTT 10804
76595798217424384,LTT 10697
